invoice_and_item_number,date,store_number,store_name,address,city,county,zip_code,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,month_name,quarter,day_of_week,margin_per_bottle,margin_pct,price_per_liter
INV-098054615,2026-03-02,1090,Sam'S Club 6472 / Council Bluffs,1846 Park Blvd,Ankeny,Polk,50897,1012100,Straight Bourbon Whiskies,280,E & J Gallo Winery,77889,Captain Morgan Spiced Rum,12,1750,50.06,75.09,3,225.27,5.25,1.39,2026,3,Mar,1,Monday,25.03,33.33,42.91
INV-089920257,2026-03-01,6198,Wilkie Liquors,7351 Park Blvd,Waterloo,Black Hawk,52245,1031200,Canadian Whiskies,556,Diageo Americas,30861,Grey Goose Vodka,12,750,81.27,121.91,9,1097.19,6.75,1.78,2026,3,Mar,1,Sunday,40.64,33.34,162.55
INV-020399639,2026-04-06,5681,Marshall Beer Wine Spirits,3941 Elm Rd,Ankeny,Polk,51376,1033100,Single Malt Scotch,427,Southern Glazer'S Wine And Spirits Of Iowa,80798,Absolut Vodka,24,1750,31.37,47.05,8,376.4,14.0,3.7,2026,4,Apr,2,Monday,15.68,33.33,26.89
INV-082828034,2026-01-11,8633,Wilkie Liquors,6912 Main St,Davenport,Scott,50848,1062300,Whiskey Liqueur,952,Beam Suntory,65069,Jose Cuervo Especial Gold,6,750,51.83,77.75,6,466.5,4.5,1.19,2026,1,Jan,1,Sunday,25.92,33.34,103.67
INV-062343121,2026-02-19,7865,Hy-Vee #3 / Bdi / Des Moines,8918 Oak Ave,Mason City,Cerro Gordo,52000,1075300,Brandy,324,E & J Gallo Winery,45774,Hennessy Cognac,6,1750,113.33,170.0,5,850.0,8.75,2.31,2026,2,Feb,1,Thursday,56.67,33.34,97.14
INV-081688860,2026-02-25,1441,Sam'S Club 6344 / Windsor Heights,6555 Main St,Des Moines,Polk,50344,1033100,Single Malt Scotch,758,Heaven Hill Brands,66179,Hennessy Cognac,12,750,110.63,165.94,10,1659.4,7.5,1.98,2026,2,Feb,1,Wednesday,55.31,33.33,221.25
INV-060885459,2026-01-18,5558,Central City 2,7006 Elm Rd,Davenport,Scott,50336,1071000,Cocktails/Rtd,581,Luxco Inc,12540,Hennessy Cognac,6,1000,56.47,84.7,6,508.2,6.0,1.59,2026,1,Jan,1,Sunday,28.23,33.33,84.7
INV-012735359,2026-04-06,3496,Sam'S Club 8162 / Cedar Rapids,4008 Oak Ave,Des Moines,Polk,51940,1051200,Rum,785,Southern Glazer'S Wine And Spirits Of Iowa,24993,Black Velvet,6,375,114.13,171.19,4,684.76,1.5,0.4,2026,4,Apr,2,Monday,57.06,33.33,456.51
INV-087669750,2026-03-14,1420,Marshall Beer Wine Spirits,5211 Park Blvd,Ankeny,Polk,51625,1012200,Tennessee Whiskies,832,Heaven Hill Brands,35995,Crown Royal Canadian Whisky,6,375,115.89,173.84,2,347.68,0.75,0.2,2026,3,Mar,1,Saturday,57.95,33.34,463.57
INV-081503856,2026-01-10,8018,Wilkie Liquors,6171 Main St,Mason City,Cerro Gordo,52073,1075300,Brandy,763,Diageo Americas,54725,Patron Silver,24,375,94.68,142.02,6,852.12,2.25,0.59,2026,1,Jan,1,Saturday,47.34,33.33,378.72
INV-030534124,2026-01-02,8135,Casey'S General Store #2212 / Cedar Rapids,2985 Elm Rd,Dewitt,Clinton,52523,1082200,American Schnapps,927,Diageo Americas,80539,Bacardi Superior Rum,24,1000,107.37,161.06,8,1288.48,8.0,2.11,2026,1,Jan,1,Friday,53.69,33.34,161.06
INV-047437115,2026-04-10,8385,Sam'S Club 6472 / Council Bluffs,4095 Park Blvd,Ankeny,Polk,52335,1033100,Single Malt Scotch,724,E & J Gallo Winery,97580,Absolut Vodka,6,1000,100.28,150.42,2,300.84,2.0,0.53,2026,4,Apr,2,Friday,50.14,33.33,150.42
INV-055679506,2026-02-18,5581,Casey'S General Store #2212 / Cedar Rapids,9867 Elm Rd,Des Moines,Polk,52277,1011400,American Flavored Vodka,110,Heaven Hill Brands,77715,Crown Royal Canadian Whisky,6,1750,44.84,67.26,5,336.3,8.75,2.31,2026,2,Feb,1,Wednesday,22.42,33.33,38.43
INV-075876924,2026-01-25,8342,Sam'S Club 6472 / Council Bluffs,382 Main St,West Des Moines,Polk,51206,1012100,Straight Bourbon Whiskies,326,Brown Forman,63005,Maker'S Mark Bourbon,24,750,58.96,88.44,12,1061.28,9.0,2.38,2026,1,Jan,1,Sunday,29.48,33.33,117.92
INV-054398056,2026-03-30,6764,Sam'S Club 8162 / Cedar Rapids,7534 Elm Rd,Council Bluffs,Pottawattamie,51256,1011200,Imported Vodkas,357,Brown Forman,40217,Maker'S Mark Bourbon,12,1000,119.61,179.41,9,1614.69,9.0,2.38,2026,3,Mar,1,Monday,59.8,33.33,179.41
INV-089133014,2026-01-16,9595,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,9877 Elm Rd,Sioux City,Woodbury,50412,1012200,Tennessee Whiskies,952,Pernod Ricard Usa,35443,Crown Royal Canadian Whisky,6,750,89.55,134.32,5,671.6,3.75,0.99,2026,1,Jan,1,Friday,44.77,33.33,179.09
INV-084270583,2026-02-07,5786,Wall To Wall Wine And Spirits / West Des Moines,2168 Park Blvd,Sioux City,Woodbury,50421,1011200,Imported Vodkas,993,Luxco Inc,11607,Tito'S Handmade Vodka,12,750,8.8,13.2,1,13.2,0.75,0.2,2026,2,Feb,1,Saturday,4.4,33.33,17.6
INV-025312516,2026-03-15,2070,Casey'S General Store #2212 / Cedar Rapids,6665 Park Blvd,Ankeny,Polk,50304,1041200,Mixto Tequila,690,Brown Forman,92502,Malibu Coconut Rum,6,750,32.91,49.36,8,394.88,6.0,1.59,2026,3,Mar,1,Sunday,16.45,33.33,65.81
INV-091378577,2026-03-29,4697,Benz Distributing,8661 Park Blvd,Davenport,Scott,51846,1031200,Canadian Whiskies,553,E & J Gallo Winery,48974,Patron Silver,6,375,17.3,25.95,7,181.65,2.62,0.69,2026,3,Mar,1,Sunday,8.65,33.33,69.33
INV-037888820,2026-04-21,4457,Hy-Vee #3 Food & Drugstore / Davenport,4435 Main St,Iowa City,Johnson,50644,1075300,Brandy,345,E & J Gallo Winery,32782,Evan Williams Bourbon,24,375,115.35,173.02,2,346.04,0.75,0.2,2026,4,Apr,2,Tuesday,57.67,33.33,461.39
INV-047945817,2026-03-12,8438,Hy-Vee #3 / Bdi / Des Moines,1266 Oak Ave,Davenport,Scott,51084,1012100,Straight Bourbon Whiskies,906,Beam Suntory,91927,Grey Goose Vodka,12,1750,7.3,10.95,5,54.75,8.75,2.31,2026,3,Mar,1,Thursday,3.65,33.33,6.26
INV-018004482,2026-03-17,3718,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,5139 Elm Rd,Iowa City,Johnson,51799,1012200,Tennessee Whiskies,227,Pernod Ricard Usa,71433,Jack Daniels Tennessee Whiskey,12,750,99.8,149.7,2,299.4,1.5,0.4,2026,3,Mar,1,Tuesday,49.9,33.33,199.6
INV-067985905,2026-03-30,6280,Sam'S Club 6344 / Windsor Heights,9991 Elm Rd,Mason City,Cerro Gordo,50106,1041200,Mixto Tequila,193,Luxco Inc,40005,Woodford Reserve,12,1750,12.87,19.3,1,19.3,1.75,0.46,2026,3,Mar,1,Monday,6.43,33.32,11.03
INV-069355025,2026-03-28,5557,Hy-Vee #3 / Bdi / Des Moines,3073 Park Blvd,Dubuque,Dubuque,52601,1075300,Brandy,933,Luxco Inc,74451,Jameson Irish Whiskey,6,375,58.31,87.47,11,962.17,4.12,1.09,2026,3,Mar,1,Saturday,29.16,33.34,233.54
INV-076500726,2026-01-12,5722,Sam'S Club 6472 / Council Bluffs,6661 Main St,Sioux City,Woodbury,51863,1033100,Single Malt Scotch,190,Heaven Hill Brands,51224,Malibu Coconut Rum,6,375,41.92,62.88,12,754.56,4.5,1.19,2026,1,Jan,1,Monday,20.96,33.33,167.68
INV-058557203,2026-02-02,9167,Sam'S Club 6344 / Windsor Heights,7342 Main St,Cedar Rapids,Linn,50834,1011400,American Flavored Vodka,373,Pernod Ricard Usa,81987,Tito'S Handmade Vodka,12,1750,9.81,14.71,9,132.39,15.75,4.16,2026,2,Feb,1,Monday,4.9,33.31,8.41
INV-011835355,2026-01-17,7684,Casey'S General Store #2212 / Cedar Rapids,1627 Oak Ave,Ankeny,Polk,50465,1041200,Mixto Tequila,572,Diageo Americas,25396,Tito'S Handmade Vodka,24,750,21.95,32.92,9,296.28,6.75,1.78,2026,1,Jan,1,Saturday,10.97,33.32,43.89
INV-071308842,2026-03-24,3369,Hy-Vee #3 Food & Drugstore / Davenport,6384 Oak Ave,Ankeny,Polk,52456,1062300,Whiskey Liqueur,620,Pernod Ricard Usa,27892,Absolut Vodka,12,1750,117.7,176.55,4,706.2,7.0,1.85,2026,3,Mar,1,Tuesday,58.85,33.33,100.89
INV-088777447,2026-04-21,9022,Sam'S Club 6472 / Council Bluffs,2534 Park Blvd,Council Bluffs,Pottawattamie,52207,1012100,Straight Bourbon Whiskies,595,Heaven Hill Brands,55236,Woodford Reserve,6,1000,36.45,54.68,5,273.4,5.0,1.32,2026,4,Apr,2,Tuesday,18.23,33.34,54.68
INV-086745380,2026-02-12,7274,Hiway 20 Liquor And Tobacco / Webster City,3926 Park Blvd,Coralville,Johnson,50179,1051200,Rum,425,Beam Suntory,71993,Grey Goose Vodka,6,1000,117.76,176.64,4,706.56,4.0,1.06,2026,2,Feb,1,Thursday,58.88,33.33,176.64
INV-023470708,2026-04-01,8213,Benz Distributing,1733 Park Blvd,Iowa City,Johnson,50063,1032100,Irish Whiskies,839,Brown Forman,28894,Fireball Cinnamon Whiskey,24,750,115.96,173.94,6,1043.64,4.5,1.19,2026,4,Apr,2,Wednesday,57.98,33.33,231.92
INV-081621574,2026-02-22,7226,Casey'S General Store #2212 / Cedar Rapids,5288 Park Blvd,Cedar Rapids,Linn,52217,1062300,Whiskey Liqueur,136,Luxco Inc,90931,Malibu Coconut Rum,24,1750,12.86,19.29,6,115.74,10.5,2.77,2026,2,Feb,1,Sunday,6.43,33.33,11.02
INV-023489853,2026-01-09,8269,Hy-Vee #3 Food & Drugstore / Davenport,2825 Elm Rd,Ames,Story,50119,1011200,Imported Vodkas,147,Southern Glazer'S Wine And Spirits Of Iowa,52516,Black Velvet,6,1750,92.08,138.12,12,1657.44,21.0,5.55,2026,1,Jan,1,Friday,46.04,33.33,78.93
INV-034166826,2026-04-12,3785,Sam'S Club 8162 / Cedar Rapids,2968 Main St,Council Bluffs,Pottawattamie,52497,1031200,Canadian Whiskies,991,Heaven Hill Brands,60140,Bacardi Superior Rum,6,750,65.38,98.07,10,980.7,7.5,1.98,2026,4,Apr,2,Sunday,32.69,33.33,130.76
INV-072445234,2026-03-21,5712,Benz Distributing,9055 Oak Ave,Ankeny,Polk,50303,1011200,Imported Vodkas,552,Southern Glazer'S Wine And Spirits Of Iowa,55293,Grey Goose Vodka,12,1000,33.25,49.88,1,49.88,1.0,0.26,2026,3,Mar,1,Saturday,16.63,33.34,49.88
INV-024314759,2026-03-17,4886,Sam'S Club 6472 / Council Bluffs,6348 Elm Rd,Ames,Story,52355,1041200,Mixto Tequila,402,Luxco Inc,48696,Grey Goose Vodka,6,1000,119.93,179.9,8,1439.2,8.0,2.11,2026,3,Mar,1,Tuesday,59.97,33.34,179.9
INV-091478884,2026-01-03,6772,Hy-Vee #3 / Bdi / Des Moines,3688 Oak Ave,Council Bluffs,Pottawattamie,52544,1032100,Irish Whiskies,356,E & J Gallo Winery,98835,Fireball Cinnamon Whiskey,12,1750,93.87,140.81,4,563.24,7.0,1.85,2026,1,Jan,1,Saturday,46.94,33.34,80.46
INV-027637794,2026-04-07,2476,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,4935 Elm Rd,Ames,Story,51702,1062300,Whiskey Liqueur,279,Sazerac Company Inc,36318,Patron Silver,6,1750,71.02,106.53,12,1278.36,21.0,5.55,2026,4,Apr,2,Tuesday,35.51,33.33,60.87
INV-049613214,2026-01-17,6549,Sam'S Club 8162 / Cedar Rapids,1986 Park Blvd,Cedar Falls,Black Hawk,50309,1051200,Rum,244,Pernod Ricard Usa,39571,Woodford Reserve,6,1000,33.44,50.16,8,401.28,8.0,2.11,2026,1,Jan,1,Saturday,16.72,33.33,50.16
INV-071040347,2026-04-21,7038,Hiway 20 Liquor And Tobacco / Webster City,4395 Park Blvd,Dewitt,Clinton,52616,1032100,Irish Whiskies,480,Heaven Hill Brands,24201,Black Velvet,6,1750,34.31,51.47,2,102.94,3.5,0.92,2026,4,Apr,2,Tuesday,17.16,33.34,29.41
INV-095282470,2026-03-28,8606,Hy-Vee #3 / Bdi / Des Moines,5051 Park Blvd,Ankeny,Polk,50478,1011200,Imported Vodkas,243,E & J Gallo Winery,15943,Maker'S Mark Bourbon,24,1000,29.29,43.94,2,87.88,2.0,0.53,2026,3,Mar,1,Saturday,14.65,33.34,43.94
INV-082503409,2026-01-05,7866,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,9722 Oak Ave,Ankeny,Polk,51700,1041200,Mixto Tequila,770,Diageo Americas,22978,Jack Daniels Tennessee Whiskey,12,750,56.35,84.53,11,929.83,8.25,2.18,2026,1,Jan,1,Monday,28.18,33.34,112.71
INV-058678896,2026-04-17,2627,Sam'S Club 6472 / Council Bluffs,6118 Elm Rd,Dubuque,Dubuque,50249,1033100,Single Malt Scotch,507,Luxco Inc,46160,Fireball Cinnamon Whiskey,6,1000,55.15,82.72,4,330.88,4.0,1.06,2026,4,Apr,2,Friday,27.57,33.33,82.72
INV-026901217,2026-01-25,4362,Kwik Spirits #1191 / Fort Dodge,1224 Oak Ave,Dewitt,Clinton,52402,1041100,100% Agave Tequila,321,Diageo Americas,40539,Captain Morgan Spiced Rum,6,375,95.16,142.74,4,570.96,1.5,0.4,2026,1,Jan,1,Sunday,47.58,33.33,380.64
INV-024754064,2026-02-12,1422,Hy-Vee #3 / Bdi / Des Moines,2259 Main St,Coralville,Johnson,51468,1062300,Whiskey Liqueur,908,Luxco Inc,41186,Jose Cuervo Especial Gold,24,750,32.7,49.05,3,147.15,2.25,0.59,2026,2,Feb,1,Thursday,16.35,33.33,65.4
INV-018530615,2026-03-17,8802,Wall To Wall Wine And Spirits / West Des Moines,7444 Elm Rd,Des Moines,Polk,52103,1011400,American Flavored Vodka,707,Luxco Inc,24293,Fireball Cinnamon Whiskey,24,750,52.54,78.81,2,157.62,1.5,0.4,2026,3,Mar,1,Tuesday,26.27,33.33,105.08
INV-074287863,2026-02-27,7580,Central City 2,7084 Main St,West Des Moines,Polk,52009,1041100,Gin,829,Pernod Ricard Usa,68138,Patron Silver,24,1750,115.81,173.72,1,173.72,1.75,0.46,2026,2,Feb,1,Friday,57.91,33.34,99.27
INV-053645651,2026-01-10,7240,Benz Distributing,9887 Elm Rd,Sioux City,Woodbury,51859,1012100,Straight Bourbon Whiskies,617,Diageo Americas,89354,Jose Cuervo Especial Gold,24,1000,77.25,115.88,9,1042.92,9.0,2.38,2026,1,Jan,1,Saturday,38.63,33.34,115.88
INV-055490631,2026-02-25,8430,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,6632 Park Blvd,Coralville,Johnson,52989,1041100,100% Agave Tequila,197,Pernod Ricard Usa,50966,Captain Morgan Spiced Rum,12,1750,106.96,160.44,7,1123.08,12.25,3.24,2026,2,Feb,1,Wednesday,53.48,33.33,91.68
INV-022513132,2026-02-24,8075,Marshall Beer Wine Spirits,1682 Elm Rd,Ames,Story,50533,1011400,American Flavored Vodka,669,Heaven Hill Brands,17861,Jose Cuervo Especial Gold,6,1750,14.13,21.2,2,42.4,3.5,0.92,2026,2,Feb,1,Tuesday,7.07,33.35,12.11
INV-016904975,2026-03-17,5712,Costco Wholesale #788 / Wdm,9937 Elm Rd,Waterloo,Black Hawk,51441,1051200,Rum,206,Diageo Americas,85748,Bacardi Superior Rum,24,1000,113.14,169.71,7,1187.97,7.0,1.85,2026,3,Mar,1,Tuesday,56.57,33.33,169.71
INV-087054398,2026-03-06,4705,Casey'S General Store #2212 / Cedar Rapids,7130 Main St,Davenport,Scott,52495,1012200,Tennessee Whiskies,773,Southern Glazer'S Wine And Spirits Of Iowa,45054,Jim Beam Bourbon,24,1000,46.32,69.48,5,347.4,5.0,1.32,2026,3,Mar,1,Friday,23.16,33.33,69.48
INV-098227303,2026-01-04,7566,Hy-Vee #3 Food & Drugstore / Davenport,1240 Oak Ave,Council Bluffs,Pottawattamie,52594,1051100,Spiced Rum,131,Heaven Hill Brands,22026,Smirnoff Vodka,6,375,104.84,157.26,10,1572.6,3.75,0.99,2026,1,Jan,1,Sunday,52.42,33.33,419.36
INV-053537934,2026-04-06,2391,Sam'S Club 6344 / Windsor Heights,961 Oak Ave,West Des Moines,Polk,50645,1041100,Gin,872,Beam Suntory,90981,Grey Goose Vodka,6,1000,46.61,69.91,12,838.92,12.0,3.17,2026,4,Apr,2,Monday,23.3,33.33,69.91
INV-025276327,2026-01-07,6655,Kwik Spirits #1191 / Fort Dodge,7143 Main St,Council Bluffs,Pottawattamie,51161,1012100,Straight Bourbon Whiskies,794,Beam Suntory,98930,Johnnie Walker Black Label,12,1750,35.32,52.98,9,476.82,15.75,4.16,2026,1,Jan,1,Wednesday,17.66,33.33,30.27
INV-050455821,2026-03-17,4460,Hy-Vee #3 Food & Drugstore / Davenport,2348 Elm Rd,Waterloo,Black Hawk,51186,1033100,Single Malt Scotch,435,Sazerac Company Inc,25726,Jack Daniels Tennessee Whiskey,24,1750,9.88,14.82,4,59.28,7.0,1.85,2026,3,Mar,1,Tuesday,4.94,33.33,8.47
